"Wert";"Besuchte Spielfelder"
1;4339
2;9297
3;10371
4;6368
5;6574
6;5642
7;10673
8;11747
9;32056
10;26102
11;50940
12;44416
13;37851
14;65809
15;116095
16;105853
17;98572
18;107421
19;67970
20;59237
21;24408
22;9434
23;10455
24;11110
25;2820
26;2372
27;576
28;154
29;16
30;4
