"Wert";"Besuchte Spielfelder"
1;78
2;208
3;430
4;686
5;830
6;1172
7;1407
8;1208
9;2383
10;1543
11;802
12;1713
13;1223
14;837
15;721
16;1170
17;758
18;431
19;614
20;612
21;761
22;490
23;438
24;364
25;299
26;145
27;97
28;31
29;6
