"Wert";"Besuchte Spielfelder"
1;64
2;69
3;390
4;629
5;761
6;741
7;953
8;2485
9;1445
10;3541
11;2690
12;1347
13;3404
14;1987
15;1505
16;2628
17;2007
18;1247
19;2789
20;6652
21;2396
22;5295
23;2721
24;2620
25;7414
26;2851
27;11590
28;4936
29;2360
30;2169
31;4464
32;4752
33;3360
34;1841
35;544
36;51
